Entity,Type,rótulo,
'DEPRECATED inheres in',ObjectProperty,"'DEPRECATED inheres in'	'é inerente'",
'DEPRECATED bearer of',ObjectProperty,"'DEPRECATED bearer of'	'portador de'",
'device utilizes material',ObjectProperty,"'dispositivo utiliza material'	'device utilizes material'",
delivers,ObjectProperty,"'delivers'	'ministra'",
'is delivered by',ObjectProperty,"'é ministrada por'	'is delivered by'",
assiste,ObjectProperty,"'assiste'",
'ocorre em data',ObjectProperty,"'ocorre em data'",
dia,DataProperty,"'dia'",
me
s,DataProperty,"'me
s'",
ano,DataProperty,"'ano'",
'tem data e hora',DataProperty,"'tem data e hora'",
'has date',DataProperty,"'has date'	'tem data'",
'has time',DataProperty,"'tem hora'	'has time'",
'has title',DataProperty,"'has title'	'temTítulo'",
'has description',DataProperty,"'temDescricao'	'has description'",
'Faculdade de Ciência da Informação',NamedIndividual,"'Faculdade de Ciência da Informação'",
Palestrinha,NamedIndividual,"'Palestrinha'",
20/08/2024,NamedIndividual,"'20/08/2024'",
14:00,NamedIndividual,"'14:00'",
'LICI1 - FCI',NamedIndividual,"'LICI1 - FCI'",
'Ciências Agrárias',NamedIndividual,"'Ciências Agrárias'",
'Ciências Biológicas',NamedIndividual,"'Ciências Biológicas'",
'Ciências da Saúde',NamedIndividual,"'Ciências da Saúde'",
'editor preferred term',AnnotationProperty,"'editor preferred term'	'rótulo preferido do editor'	'editor preferred term~editor preferred label'	'editor preferred label'	'editor preferred term'	'editor preferred label'",
'example of usage',AnnotationProperty,"'example of usage'	'exemplo de uso'",
'has curation status',AnnotationProperty,"'has curation status'	'status de curadoria'",
definition,AnnotationProperty,"'definição'	'definition'	'textual definition'	'definition'",
'editor note',AnnotationProperty,"'nota do editor'	'editor note'",
'term editor',AnnotationProperty,"'editor do termo'	'term editor'",
'alternative label',AnnotationProperty,"'termo alternativo'	'alternative label'	'alternative term'",
'definition source',AnnotationProperty,"'fonte da definição'	'definition source'",
'curator note',AnnotationProperty,"''	'curator note'",
'term tracker item',AnnotationProperty,"'item rastreador de prazo'	'term tracker item'",
'imported from',AnnotationProperty,"'importado de'	'imported from'",
elucidation,AnnotationProperty,"'elucidação'	'elucidation'",
'has axiom label',AnnotationProperty,"'has axiom label'	'tem rótulo de axioma'",
'translated by',AnnotationProperty,"'traduzido por'	'translated by'",
'translated to Portuguese by',AnnotationProperty,"'translated to Portuguese by'	'traduzido para o português por'",
'temporal interpretation',AnnotationProperty,"'interpretação temporal'	'temporal interpretation'",
'logical macro assertion',AnnotationProperty,"'logical macro assertion'	''",
'logical macro assertion on a property',AnnotationProperty,"''	'logical macro assertion on a property'",
'logical macro assertion on an object property',AnnotationProperty,"''	'logical macro assertion on an object property'",
'logical macro assertion on an annotation property',AnnotationProperty,"''	'logical macro assertion on an annotation property'",
,AnnotationProperty,"''	'is direct form of'",
,AnnotationProperty,"''	'logical macro assertion on an axiom'",
,AnnotationProperty,"''	'is a defining property chain axiom'",
,AnnotationProperty,"''	'is a defining property chain axiom where second argument is reflexive'",
dc:creator,AnnotationProperty,,
dc:date,AnnotationProperty,,
dc:description,AnnotationProperty,,
dc:title,AnnotationProperty,,
dcterms:contributor,AnnotationProperty,,
dcterms:creator,AnnotationProperty,,
dcterms:license,AnnotationProperty,,
dcterms:source,AnnotationProperty,,
creation_date,AnnotationProperty,,
hasBroadSynonym,AnnotationProperty,,
inSubset,AnnotationProperty,,
rdf:datatype,AnnotationProperty,,
rdfs:comment,AnnotationProperty,,
rdfs:isDefinedBy,AnnotationProperty,,
rótulo,AnnotationProperty,"'label'	'rótulo'",
rdfs:seeAlso,AnnotationProperty,,
owl:allValuesFrom,AnnotationProperty,,
owl:deprecated,AnnotationProperty,,
owl:onDatatype,AnnotationProperty,,
owl:versionInfo,AnnotationProperty,,
rdf:PlainLiteral,Datatype,,
xsd:anyURI,Datatype,,
xsd:boolean,Datatype,,
xsd:date,Datatype,,
xsd:dateTime,Datatype,,
xsd:gDay,Datatype,,
xsd:gMonth,Datatype,,
xsd:gMonthDay,Datatype,,
xsd:gYear,Datatype,,
xsd:gYearMonth,Datatype,,
xsd:integer,Datatype,,
xsd:length,Datatype,,
xsd:maxExclusive,Datatype,,
xsd:maxInclusive,Datatype,,
xsd:maxLength,Datatype,,
xsd:minExclusive,Datatype,,
xsd:minInclusive,Datatype,,
xsd:minLength,Datatype,,
xsd:string,Datatype,,
xsd:time,Datatype,,
